hostname,st_spectype,st_teff,st_lum,st_rad,spectral_class,log_temp
Kepler-146,,5948.0,0.148,1.21,,3.7743709598499167
Kepler-990,,5948.0,-0.05,1.08,,3.7743709598499167
Kepler-12,,5947.0,0.449,1.48,,3.7742979384992776
Kepler-1594,,5946.0,0.0,1.08,,3.774224904868919
Kepler-277,,5946.0,0.568,1.69,,3.774224904868919
K2-398,G2,5946.0,0.26,1.24,G,3.774224904868919
Kepler-540,,5946.0,0.207,1.08,,3.774224904868919
K2-230,,5945.0,0.317,1.39,,3.7741518589547103
Kepler-1063,,5945.0,0.166,1.14,,3.7741518589547103
CoRoT-13,G0 V,5945.0,0.073,1.01,G,3.7741518589547103
K2-100,G0 V,5945.0,0.25,1.24,G,3.7741518589547103
HD 2039,G2/G3 IV/V,5945.0,0.194,1.19,G,3.7741518589547103
Kepler-762,,5944.0,0.318,1.08,,3.774078800752519
Kepler-1219,,5944.0,0.926,1.94,,3.774078800752519
HATS-30,G,5943.0,0.097,1.06,G,3.7740057302582093
Kepler-610,,5943.0,-0.11,1.13,,3.7740057302582093
K2-166,,5942.5,0.458,1.6,,3.773969190400218
Kepler-1979,,5942.0,-0.094,0.94,,3.773932647467645
Kepler-1730,,5942.0,0.075,1.14,,3.773932647467645
Kepler-1667,,5941.54,0.123,1.09,,3.7738990252537636
WASP-176,F9,5941.0,0.617,1.93,F,3.773859552376687
Kepler-1147,,5941.0,0.235,1.14,,3.773859552376687
HD 220773,F9,5940.0,0.498,1.68,F,3.7737864449811935
Kepler-1598,,5940.0,-0.039,1.09,,3.7737864449811935
TOI-2981,,5940.0,0.116,1.08,,3.7737864449811935
HD 142415,G1 V,5940.0,0.06,1.04,G,3.7737864449811935
WASP-114,G0,5940.0,0.333,1.43,G,3.7737864449811935
WASP-20,F9,5940.0,0.338,1.39,F,3.7737864449811935
CoRoT-22,G3 V,5939.0,0.014,1.14,G,3.7737133252770216
HD 86081,F8,5939.0,0.38,1.46,F,3.7737133252770216
Kepler-392,,5938.0,0.195,1.13,,3.7736401932600256
Kepler-259,,5938.0,-0.153,0.9,,3.7736401932600256
K2-376,G1,5937.0,0.189,1.15,G,3.7735670489260587
TOI-2583 A,,5936.0,0.388,1.48,,3.7734938922709707
Kepler-534,,5936.0,0.147,0.97,,3.7734938922709707
Kepler-1174,,5936.0,0.555,1.04,,3.7734938922709707
HD 82943,G2/3V,5935.0,0.194,1.18,G,3.77342072329061
Kepler-980,,5935.0,0.262,1.06,,3.77342072329061
HD 33283,G3/G5 V,5935.0,0.64,1.97,G,3.77342072329061
Kepler-754,,5935.0,0.416,1.08,,3.77342072329061
Kepler-748,,5934.0,0.36,1.1,,3.773347541980823
HD 6061,,5934.0,0.055,1.01,,3.773347541980823
Kepler-464,,5933.0,0.484,1.59,,3.773274348337454
Kepler-7,,5933.0,0.696,1.97,,3.773274348337454
Kepler-1587,,5933.0,0.326,1.22,,3.773274348337454
Kepler-850,,5932.0,0.173,1.09,,3.7732011423563443
HD 68988,G2 V,5932.0,0.222,1.19,G,3.7732011423563443
HD 72659,G2 V,5932.0,0.374,1.46,G,3.7732011423563443
HD 72659,G2 V,5932.0,0.376,1.46,G,3.7732011423563443
Kepler-1113,,5931.0,0.08,1.17,,3.773127924033335
Kepler-1922,,5931.0,0.152,0.86,,3.773127924033335
HD 217958,,5930.64,0.292,1.33,,3.7731015624149524
HD 62549,,5930.46,0.228,1.23,,3.773088381005682
TOI-2010,F0,5929.0,0.114,1.08,F,3.7729814503449637
Kepler-822,,5928.0,-0.005,1.08,,3.7729081949712717
Kepler-466,,5927.0,-0.067,1.05,,3.772834927239018
Kepler-1839,,5926.0,0.192,0.94,,3.772761647144032
Kepler-1272,,5926.0,0.37,1.09,,3.772761647144032
Kepler-1405,,5925.0,0.022,1.07,,3.7726883546821415
TOI-559,G V,5925.0,0.227,1.23,G,3.7726883546821415
Kepler-1934,,5925.0,0.108,1.04,,3.7726883546821415
Kepler-1182,,5924.0,0.256,1.05,,3.772615049849171
OGLE-TR-182,,5924.0,0.241,1.14,,3.772615049849171
Kepler-1226,,5923.0,0.359,1.02,,3.7725417326409434
Kepler-1082,,5923.0,0.314,1.14,,3.7725417326409434
HD 185269,G0 IV,5923.0,0.694,2.0,G,3.7725417326409434
Kepler-338,,5923.0,0.586,1.74,,3.7725417326409434
K2-73,,5922.0,0.076,1.06,,3.7724684030532805
KOI-1783,,5922.0,0.213,1.14,,3.7724684030532805
HD 220689,G3 V,5921.0,0.093,1.07,G,3.7723950610820003
HD 25912,,5920.58,0.041,1.0,,3.7723642537602617
WASP-48,,5920.0,0.58,1.58,,3.77232170672292
Kepler-207,,5920.0,0.534,1.59,,3.77232170672292
HD 12484,F8,5920.0,0.022,1.0,F,3.77232170672292
K2-342,,5920.0,0.093,1.09,,3.77232170672292
HD 28192,,5919.87,0.103,1.07,,3.772312169746137
Kepler-803,,5919.0,0.241,1.12,,3.7722483399718536
Kepler-288,,5918.0,0.056,1.09,,3.7721749608246142
Kepler-1709,,5918.0,0.115,1.04,,3.7721749608246142
Kepler-1878,,5918.0,0.187,0.86,,3.7721749608246142
Kepler-122,,5917.0,0.27,0.95,,3.772101569277012
WASP-153,G0,5914.0,0.46,1.73,G,3.771881320190099
Kepler-111,,5914.0,0.158,1.15,,3.771881320190099
Kepler-1046,,5913.0,0.064,1.04,,3.771807878999106
Kepler-592,,5913.0,0.185,1.04,,3.771807878999106
Kepler-690,,5913.0,0.141,1.16,,3.771807878999106
Kepler-1188,,5913.0,0.398,1.06,,3.771807878999106
Kepler-294,,5913.0,-0.148,0.98,,3.771807878999106
Kepler-34,,5913.0,0.173,1.16,,3.771807878999106
K2-44,,5912.0,0.43,1.58,,3.7717344253867693
HD 10180,G1 V,5911.0,0.173,1.11,G,3.7716609593488872
K2-380,,5911.0,0.202,1.32,,3.7716609593488872
Kepler-1348,,5911.0,0.204,1.04,,3.7716609593488872
WASP-192,G0 V,5910.0,0.282,1.32,G,3.7715874808812555
WASP-68,G0,5910.0,0.505,1.79,G,3.7715874808812555
TOI-2842,,5910.0,0.246,1.27,,3.7715874808812555
K2-175,,5909.0,0.419,1.42,,3.7715139899796664
Kepler-1207,,5909.0,0.638,1.06,,3.7715139899796664
Kepler-1338,,5909.0,0.247,1.05,,3.7715139899796664
HD 216437,G1 V,5909.0,0.35,1.39,G,3.7715139899796664
K2-167,,5908.0,0.442,1.49,,3.771440486639912
Kepler-358,,5908.0,-0.138,0.95,,3.771440486639912
HD 93963 A,G0 V,5908.0,0.068,1.03,G,3.771440486639912
Kepler-1193,,5908.0,0.351,1.21,,3.771440486639912
HD 152079,G6 V,5907.0,0.107,1.13,G,3.771366970857781
Kepler-647,,5906.74,0.418,1.55,,3.771347854715845
Kepler-1368,,5906.0,0.051,1.08,,3.7712934426290596
Kepler-771,,5906.0,0.355,1.05,,3.7712934426290596
HD 11112,,5905.64,0.377,1.47,,3.771266969418983
TOI-2498,,5905.0,0.271,1.26,,3.7712199019495336
HD 155358,G0,5905.0,0.299,1.38,G,3.7712199019495336
Kepler-311,,5905.0,0.193,1.19,,3.7712199019495336
Kepler-60,,5905.0,0.369,1.26,,3.7712199019495336
HAT-P-23,G0,5905.0,0.199,1.2,G,3.7712199019495336
Kepler-1217,,5905.0,0.085,1.08,,3.7712199019495336
Kepler-92,,5904.34,0.558,1.82,,3.771171358278447
Kepler-1478,,5904.0,0.304,1.06,,3.7711463488149852
Kepler-1268,,5904.0,0.345,1.09,,3.7711463488149852
Kepler-1516,,5904.0,0.446,1.07,,3.7711463488149852
Kepler-33,,5904.0,0.556,1.82,,3.7711463488149852
HD 17674,G0 V,5904.0,0.205,1.18,G,3.7711463488149852
Kepler-501,,5904.0,0.216,1.04,,3.7711463488149852
Kepler-311,,5903.0,0.193,1.16,,3.7710727832211948
Kepler-696,,5903.0,0.151,1.08,,3.7710727832211948
Kepler-1835,,5903.0,0.078,0.96,,3.7710727832211948
K2-222,,5902.7,0.139,1.12,,3.771050711112874
Kepler-872,,5902.0,-0.146,1.08,,3.7709992051639407
HD 564,G2/G3 V,5902.0,0.019,1.01,G,3.7709992051639407
Kepler-1429,,5902.0,0.138,1.07,,3.7709992051639407
Kepler-765,,5901.0,0.146,1.06,,3.7709256146389993
HD 155358,G0,5900.0,0.299,1.38,G,3.7708520116421442
WASP-129,G1,5900.0,0.112,0.9,G,3.7708520116421442
HD 125612,G3 V,5900.0,0.06,1.05,G,3.7708520116421442
KOI-2513,,5900.0,0.197,1.2,,3.7708520116421442
WASP-60,G1 V,5900.0,0.347,1.17,G,3.7708520116421442
HD 156411,F8 IV/V,5900.0,0.731,2.16,F,3.7708520116421442
CoRoT-23,G0 V,5900.0,0.087,1.61,G,3.7708520116421442
HD 125612,G3 V,5900.0,0.06,1.07,G,3.7708520116421442
CoRoT-27,G2,5900.0,-0.166,1.08,G,3.7708520116421442
WASP-141,F9,5900.0,0.315,1.37,F,3.7708520116421442
WASP-55,,5900.0,0.163,1.09,,3.7708520116421442
Kepler-376,,5900.0,0.357,1.18,,3.7708520116421442
WASP-185,G0 V,5900.0,0.412,1.5,G,3.7708520116421442
Kepler-633,,5899.0,0.236,1.15,,3.7707783961691477
KELT-23 A,G2 V,5899.0,0.034,1.0,G,3.7707783961691477
HD 31527,G2 V,5898.0,0.079,1.07,G,3.7707047682157793
HD 188641,,5897.32,0.615,1.94,,3.7706546940765406
Kepler-1763,,5897.0,0.274,1.26,,3.7706311277778064
K2-79,,5897.0,0.018,1.27,,3.7706311277778064
Kepler-24,,5897.0,0.142,1.29,,3.7706311277778064
Kepler-639,,5896.0,0.483,1.29,,3.770557474850995
Kepler-836,,5895.0,0.049,1.04,,3.770483809431108
Kepler-308,,5895.0,-0.116,0.94,,3.770483809431108
Kepler-526,,5894.0,0.351,1.14,,3.7704101315139065
Kepler-555,,5894.0,0.264,1.04,,3.7704101315139065
HD 224693,G2 V,5894.0,0.61,1.93,G,3.7704101315139065
Kepler-1468,,5893.0,0.531,1.05,,3.770336441095149
Kepler-1109,,5893.0,-0.076,1.06,,3.770336441095149
Kepler-1574,,5892.0,0.156,1.08,,3.7702627381705933
Kepler-1406,,5892.0,0.135,1.12,,3.7702627381705933
HD 219828,G0 IV,5891.0,0.42,1.61,G,3.7701890227359933
HD 219828,G0 IV,5891.0,0.42,1.56,G,3.7701890227359933
TOI-261,,5890.3,0.25,1.28,,3.7701374144860225
WASP-113,G1,5890.0,0.516,1.61,G,3.7701152947871015
K2-205,,5890.0,0.194,1.08,,3.7701152947871015
Kepler-604,,5890.0,0.092,1.03,,3.7701152947871015
Kepler-680,,5890.0,0.197,1.11,,3.7701152947871015
Kepler-1199,,5889.0,0.187,1.17,,3.770041554319669
Kepler-1918,,5889.0,-0.308,0.92,,3.770041554319669
Kepler-164,,5888.0,0.113,1.15,,3.7699678013294426
Kepler-1052,,5888.0,-0.047,1.03,,3.7699678013294426
Kepler-164,,5888.0,0.113,1.1,,3.7699678013294426
Kepler-183,,5888.0,0.026,0.96,,3.7699678013294426
Kepler-891,,5887.0,0.588,1.07,,3.769894035812169
Kepler-666,,5887.0,0.182,1.05,,3.769894035812169
Kepler-1791,,5887.0,0.176,1.18,,3.769894035812169
K2-66,,5887.0,0.506,1.67,,3.769894035812169
Kepler-1859,,5887.0,0.154,1.24,,3.769894035812169
Kepler-400,,5886.0,0.152,1.15,,3.769820257763592
Kepler-965,,5886.0,0.148,1.15,,3.769820257763592
HD 141004,G0Vvar,5885.38,0.346,1.39,G,3.7697745090783865
Kepler-1327,,5885.0,0.036,1.03,,3.7697464671794534
Kepler-266,,5885.0,0.012,1.03,,3.7697464671794534
Kepler-100,,5884.0,0.4,1.51,,3.7696726640554923
Kepler-1466,,5884.0,-0.023,1.02,,3.7696726640554923
Kepler-1316,,5884.0,0.253,1.12,,3.7696726640554923
Kepler-534,,5884.0,0.147,0.98,,3.7696726640554923
Kepler-130,,5884.0,0.198,1.13,,3.7696726640554923
Kepler-1307,,5884.0,-0.205,1.08,,3.7696726640554923
Kepler-430,,5884.0,0.312,1.49,,3.7696726640554923
HD 68988,G2 V,5883.41,0.222,1.26,G,3.7696291143288256
Kepler-92,,5883.0,0.558,1.7,,3.7695988483874463
HD 147513,G3/5V,5883.0,-0.01,0.98,G,3.7695988483874463
Kepler-545,,5882.0,0.107,1.07,,3.7695250201710504
HD 30562,G2 IV,5882.0,0.45,1.61,G,3.7695250201710504
HD 109833,,5881.0,0.072,1.0,,3.7694511794020378
Kepler-1923,,5881.0,0.257,1.29,,3.7694511794020378
TOI-169,G1 V,5880.0,0.253,1.29,G,3.7693773260761385
K2-333,,5880.0,0.165,1.22,,3.7693773260761385
HATS-10,,5880.0,0.117,1.1,,3.7693773260761385
Kepler-1412,,5880.0,0.383,1.27,,3.7693773260761385
HD 34445,G0 V,5879.0,0.303,1.38,G,3.769303460189082
HD 196050,G3 V,5879.0,0.26,1.42,G,3.769303460189082
Kepler-130,,5879.0,0.155,1.17,,3.769303460189082
Kepler-1676,,5878.3,0.084,1.06,,3.769251746591965
TOI-1716,,5877.0,0.215,1.22,,3.7691556907143986
Kepler-633,,5877.0,0.236,1.27,,3.7691556907143986
Kepler-914,,5877.0,0.245,1.15,,3.7691556907143986
Kepler-1838,,5877.0,0.537,1.96,,3.7691556907143986
Kepler-335,,5877.0,0.578,1.85,,3.7691556907143986
Kepler-1576,,5876.0,-0.063,1.06,,3.769081787118219
HD 183263,G2 IV,5875.99,0.25,1.29,G,3.769081048018744
Kepler-888,,5875.0,-0.043,0.9,,3.7690078709437738
TOI-251,,5875.0,-0.08,0.88,,3.7690078709437738
HD 97037,,5874.1,0.234,1.26,,3.7689413356288175
HD 106252,G0,5874.0,0.123,1.1,G,3.7689339421867816
Kepler-1981,,5874.0,0.244,3.01,,3.7689339421867816
TOI-5726,,5874.0,0.118,1.11,,3.7689339421867816
HD 124330,G4 IV,5873.0,0.338,1.3,G,3.768860000842957
47 UMa,G0V,5872.0,0.198,1.21,G,3.7687860469080143
HAT-P-65,G2,5872.0,0.473,1.67,G,3.7687860469080143
HD 118203,,5872.0,0.646,2.1,,3.7687860469080143
47 UMa,G0 V,5872.0,0.198,1.21,G,3.7687860469080143
47 UMa,G1 V,5872.0,0.198,1.21,G,3.7687860469080143
Kepler-1776,,5872.0,0.164,1.15,,3.7687860469080143
Kepler-1863,,5871.0,0.41,0.98,,3.7687120803776635
HD 21520,,5871.0,0.066,1.04,,3.7687120803776635
Kepler-715,,5871.0,0.165,1.04,,3.7687120803776635
Kepler-649,,5871.0,-0.044,0.94,,3.7687120803776635
WASP-151,G1,5871.0,0.145,1.18,G,3.7687120803776635
HD 141937,G2/G3 V,5870.0,0.022,1.03,G,3.7686381012476144
Kepler-789,,5870.0,0.496,1.02,,3.7686381012476144
HD 165131,G3/5 V,5870.0,0.083,1.06,G,3.7686381012476144
WASP-81,,5870.0,0.246,1.28,,3.7686381012476144
HATS-1,,5870.0,0.041,1.04,,3.7686381012476144
Kepler-1474,,5870.0,0.029,1.04,,3.7686381012476144
Kepler-1601,,5869.0,0.085,1.07,,3.7685641095135733
Kepler-929,,5869.0,0.461,1.02,,3.7685641095135733
HD 45184,G1.5 V,5869.0,0.053,1.08,G,3.7685641095135733
K2-337,,5869.0,0.25,1.32,,3.7685641095135733
Kepler-1906,,5868.0,0.242,0.89,,3.768490105171245
EPIC 229004835,,5868.0,0.03,1.0,,3.768490105171245
Kepler-1766,,5868.0,0.175,1.04,,3.768490105171245
Kepler-782,,5867.0,0.11,1.01,,3.768416088216332
HD 13931,G0,5867.0,0.196,1.25,G,3.768416088216332
Kepler-336,,5867.0,0.26,1.3,,3.768416088216332
Kepler-1790,,5866.0,0.383,1.37,,3.7683420586445333
Kepler-1457,,5866.0,0.215,1.01,,3.7683420586445333
Kepler-1555,,5866.0,0.389,1.06,,3.7683420586445333
Kepler-157,,5866.0,0.091,1.03,,3.7683420586445333
Kepler-511,,5866.0,0.498,1.42,,3.7683420586445333
Kepler-654,,5865.0,0.462,1.11,,3.768268016451548
Kepler-1615,,5865.0,0.389,1.05,,3.768268016451548
Kepler-1879,,5865.0,0.384,1.39,,3.768268016451548
Kepler-1493,,5863.0,0.249,1.29,,3.7681198941847973
Kepler-552,,5863.0,0.063,1.04,,3.7681198941847973
HD 86226,G1 V,5863.0,0.072,1.05,G,3.7681198941847973
Kepler-722,,5863.0,-0.039,1.05,,3.7681198941847973
Kepler-1092,,5862.0,0.096,1.0,,3.768045814102417
HD 194490,,5861.32,0.147,1.15,,3.767995432427597
Kepler-817,,5861.0,0.086,1.03,,3.7679717213816186
HD 88986,G2 V,5861.0,0.393,1.54,G,3.7679717213816186
Kepler-759,,5860.0,0.061,1.04,,3.767897616018091
HAT-P-4,F,5860.0,0.431,1.62,F,3.767897616018091
Kepler-618,,5860.0,0.173,1.08,,3.767897616018091
TOI-1777,,5859.45,0.012,0.98,,3.767856852677623
TOI-3819,,5859.0,0.4,1.54,,3.767823498007517
HD 164509,G5,5859.0,0.12,1.11,G,3.767823498007517
K2-223,,5859.0,-0.035,1.0,,3.767823498007517
Kepler-106,,5858.0,0.083,1.04,,3.76774936734558
Kepler-53,,5858.0,0.036,0.89,,3.76774936734558
Kepler-4,,5857.0,0.354,1.49,,3.76767522402796
Kepler-950,,5857.0,0.355,1.02,,3.76767522402796
Kepler-1528,,5857.0,-0.064,1.03,,3.76767522402796
Kepler-870,,5857.0,0.043,1.02,,3.76767522402796
HD 149143,G0,5856.0,0.35,1.44,G,3.7676010680503356
Kepler-1925,,5856.0,0.365,1.09,,3.7676010680503356
Kepler-1861,,5855.0,0.3,1.37,,3.7675268994083817
Kepler-1743,,5855.0,0.599,1.61,,3.7675268994083817
Kepler-108,,5854.0,0.707,2.19,,3.7674527180977733
K2-214,,5854.0,0.196,1.27,,3.7674527180977733
Kepler-107,,5854.0,0.364,1.45,,3.7674527180977733
Kepler-1864,,5854.0,0.03,0.98,,3.7674527180977733
Kepler-227,,5854.0,-0.121,1.09,,3.7674527180977733
Kepler-1675,,5853.19,0.129,1.13,,3.7673926219464504
Kepler-1619,,5852.0,0.326,1.0,,3.767304317453273
Kepler-1965,,5852.0,-0.076,0.84,,3.767304317453273
Kepler-370,,5852.0,0.006,0.9,,3.767304317453273
Kepler-212,,5852.0,0.383,1.46,,3.767304317453273
Kepler-1091,,5851.0,0.08,1.03,,3.7672300981107183
Kepler-1131,,5851.0,-0.028,1.04,,3.7672300981107183
K2-6,,5850.0,-0.12,0.96,,3.7671558660821804
Kepler-773,,5850.0,0.095,1.01,,3.7671558660821804
Kepler-1253,,5850.0,0.345,1.1,,3.7671558660821804
TrES-2,G0 V,5850.0,0.038,1.12,G,3.7671558660821804
TOI-3321,,5850.0,0.405,1.55,,3.7671558660821804
Kepler-513,,5849.0,0.079,1.06,,3.7670816213633223
Kepler-650,,5849.0,0.284,1.35,,3.7670816213633223
Kepler-745,,5849.0,0.376,1.04,,3.7670816213633223
Kepler-731,,5849.0,0.035,1.06,,3.7670816213633223
Kepler-143,,5848.0,0.294,1.36,,3.767007363949804
HD 221420,G1 V,5847.0,0.603,1.95,G,3.766933093837284
Kepler-68,,5847.0,0.218,1.26,,3.766933093837284
Kepler-68,,5847.0,0.231,1.26,,3.766933093837284
Kepler-232,,5847.0,0.052,0.97,,3.766933093837284
Kepler-269,,5847.0,0.368,0.96,,3.766933093837284
TOI-2545,,5846.29,0.218,1.25,,3.766880354346083
HATS-17,G V,5846.0,0.093,1.09,G,3.7668588110214176
HD 96700,G0 V,5845.0,0.14,1.16,G,3.766784515497859
Kepler-1500,,5845.0,0.275,1.0,,3.766784515497859
HD 109246,G0 V,5844.0,0.1,1.07,G,3.766710207262259
Kepler-1176,,5844.0,-0.117,1.02,,3.766710207262259
HD 114729,G0 V,5844.0,0.421,1.47,G,3.766710207262259
TIC 139270665,G2,5844.0,0.032,1.02,G,3.766710207262259
Kepler-58,,5843.0,-0.004,1.03,,3.7666358863102674
HD 23127,G2 V,5843.0,0.452,1.49,G,3.7666358863102674
HD 170469,G5 IV,5842.0,0.204,1.24,G,3.766561552637531
TOI-858 B,G0,5842.0,0.253,1.31,G,3.766561552637531
Kepler-1155,,5842.0,0.047,1.03,,3.766561552637531
Kepler-1220,,5842.0,0.025,0.99,,3.766561552637531
Kepler-518,,5842.0,-0.04,0.88,,3.766561552637531
HD 16417,G1 V,5841.0,0.443,1.64,G,3.766487206239694
TOI-1439,,5841.0,0.441,1.62,,3.766487206239694
Kepler-1820,,5841.0,-0.022,0.93,,3.766487206239694
Kepler-262,,5841.0,-0.14,0.88,,3.766487206239694
Kepler-1954,,5840.0,0.045,0.85,,3.7664128471123997
HD 213519,,5840.0,0.089,1.08,,3.7664128471123997
Kepler-1391,,5840.0,0.439,1.1,,3.7664128471123997
Kepler-966,,5840.0,0.233,1.02,,3.7664128471123997
TOI-1422,G2 V,5840.0,0.048,1.02,G,3.7664128471123997
Kepler-1417,,5839.0,0.395,1.02,,3.7663384752512874
Kepler-897,,5839.0,0.288,1.04,,3.7663384752512874
Kepler-1258,,5839.0,0.094,0.99,,3.7663384752512874
Kepler-794,,5839.0,0.506,1.38,,3.7663384752512874
WASP-181,G2,5839.0,0.049,0.97,G,3.7663384752512874
Kepler-1670,,5838.0,0.383,1.52,,3.7662640906519957
Kepler-1424,,5838.0,0.271,1.07,,3.7662640906519957
HD 80869,G5,5837.0,0.4,1.06,G,3.7661896933101597
Kepler-1099,,5837.0,-0.119,1.0,,3.7661896933101597
Kepler-1538,,5837.0,-0.085,1.03,,3.7661896933101597
Kepler-476,,5837.0,0.095,1.09,,3.7661896933101597
HD 34445,G0 V,5836.0,0.303,1.38,G,3.766115283221414
Kepler-860,,5836.0,-0.157,1.06,,3.766115283221414
HD 13724,,5835.31,0.055,1.04,,3.7660639328258094
Kepler-855,,5835.0,0.333,1.03,,3.766040860381389
Kepler-265,,5835.0,0.005,1.1,,3.766040860381389
Kepler-588,,5835.0,0.207,1.0,,3.766040860381389
Kepler-1942,,5834.0,-0.075,0.8,,3.765966424785714
TOI-4443,,5834.0,0.033,1.02,,3.765966424785714
Kepler-1202,,5834.0,-0.134,1.04,,3.765966424785714
Kepler-497,,5834.0,0.252,1.11,,3.765966424785714
KOI-1599,,5833.0,0.162,0.97,,3.7658919764300154
Kepler-1149,,5833.0,0.165,1.01,,3.7658919764300154
Kepler-1129,,5831.0,-0.027,1.0,,3.7657430414210444
Kepler-1799,,5831.0,0.314,0.92,,3.7657430414210444
Kepler-1426,,5831.0,0.035,1.02,,3.7657430414210444
Kepler-1495,,5831.0,0.052,1.04,,3.7657430414210444
TOI-2524,,5831.0,0.116,1.12,,3.7657430414210444
Kepler-843,,5830.0,-0.047,1.03,,3.765668554759014
WASP-95,G2,5830.0,0.178,1.23,G,3.765668554759014
KOI-3680,,5830.0,0.068,0.96,,3.765668554759014
Kepler-630,,5829.0,0.302,1.04,,3.765594055319445
Kepler-385,,5829.0,0.144,1.16,,3.765594055319445
Kepler-334,,5828.0,0.056,1.07,,3.7655195430979527
Kepler-1464,,5828.0,0.43,1.01,,3.7655195430979527
Kepler-23,,5828.0,0.398,1.55,,3.7655195430979527
Kepler-375,,5826.0,-0.163,0.84,,3.7653704802916486
Kepler-1204,,5825.0,-0.058,1.03,,3.7652959296980564
Kepler-100,,5825.0,0.411,1.49,,3.7652959296980564
Kepler-1955,,5825.0,0.23,1.29,,3.7652959296980564
HD 109749,G3 V,5824.0,0.19,1.22,G,3.765221366304981
TOI-813,,5823.7,0.619,2.04,,3.7651989947905014
Kepler-418,,5822.0,0.111,1.08,,3.765072201102792
K2-375,,5822.0,0.396,1.54,,3.765072201102792
Kepler-1016,,5821.0,0.124,1.0,,3.7649975992848805
Kepler-203,,5821.0,0.094,1.11,,3.7649975992848805
Kepler-1732,,5821.0,0.296,1.49,,3.7649975992848805
Kepler-539,G2 V,5820.0,-0.094,0.95,G,3.7649229846498886
Kepler-608,,5820.0,0.041,1.01,,3.7649229846498886
EPIC 201595106,,5820.0,-0.026,0.93,,3.7649229846498886
Kepler-418,,5820.0,0.111,1.09,,3.7649229846498886
Kepler-893,,5820.0,0.06,0.99,,3.7649229846498886
NGTS-24,G2 IV,5820.0,0.446,1.64,G,3.7649229846498886
Kepler-1488,,5820.0,0.587,1.31,,3.7649229846498886
Kepler-539,G2 V,5820.0,-0.06,0.95,G,3.7649229846498886
NGTS-13,,5819.0,0.517,1.79,,3.7648483571934106
Kepler-1980,,5819.0,0.224,0.99,,3.7648483571934106
TOI-6651,,5818.9,0.522,1.72,,3.7648408937424116
Kepler-1297,,5818.0,0.302,0.99,,3.7647737169110402
Kepler-1775,,5818.0,0.246,1.65,,3.7647737169110402
Kepler-405,,5818.0,-0.331,0.89,,3.7647737169110402
Kepler-1052,,5818.0,-0.047,0.85,,3.7647737169110402
Kepler-1972,,5818.0,0.294,1.38,,3.7647737169110402
K2-193,,5817.0,-0.076,0.98,,3.7646990637983677
Kepler-1588,,5817.0,0.32,0.99,,3.7646990637983677
Kepler-804,,5817.0,0.05,1.05,,3.7646990637983677
K2-341,,5817.0,0.126,1.16,,3.7646990637983677
rho CrB,G0 V,5817.0,0.26,1.35,G,3.7646990637983677
Kepler-1077,,5816.0,0.006,1.02,,3.7646243978509815
Kepler-162,,5816.0,0.155,0.96,,3.7646243978509815
Kepler-1085,,5816.0,0.079,1.08,,3.7646243978509815
Kepler-473,,5816.0,0.525,1.34,,3.7646243978509815
TOI-1742,,5815.0,0.108,1.13,,3.7645497190644672
Kepler-301,,5815.0,-0.08,0.9,,3.7645497190644672
Kepler-1560,,5815.0,-0.034,1.02,,3.7645497190644672
TOI-1937 A,,5814.0,0.08,1.08,,3.764475027434409
Kepler-626,,5813.0,-0.042,1.05,,3.764400322956388
Kepler-500,,5813.0,0.116,1.03,,3.764400322956388
Kepler-1645,,5812.0,0.336,1.02,,3.764325605625984
Kepler-204,,5812.0,0.03,1.24,,3.764325605625984
Kepler-1444,,5810.0,0.021,1.05,,3.7641761323903307
TOI-3540 A,,5810.0,0.19,1.23,,3.7641761323903307
Kepler-467,,5809.0,0.323,1.37,,3.7641013764762286
Kepler-1786,,5808.0,0.159,1.4,,3.7640266076920375
Kepler-657,,5808.0,0.279,1.01,,3.7640266076920375
Kepler-1573,,5808.0,0.169,1.0,,3.7640266076920375
Kepler-603,,5808.0,0.392,1.01,,3.7640266076920375
TOI-2416,,5808.0,0.197,1.24,,3.7640266076920375
Kepler-1869,,5808.0,-0.05,0.9,,3.7640266076920375
Kepler-528,,5807.0,0.158,1.06,,3.763951826033324
Kepler-343,,5807.0,0.216,1.43,,3.763951826033324
Kepler-1431,,5806.0,0.243,1.03,,3.763877031495655
Kepler-1068,,5806.0,-0.025,1.01,,3.763877031495655
Kepler-926,,5806.0,0.173,1.01,,3.763877031495655
WASP-164,G2 V,5806.0,-0.067,0.93,G,3.763877031495655
Kepler-287,K7 V,5806.0,-0.134,1.03,K,3.763877031495655
Kepler-1828,,5806.0,-0.111,0.9,,3.763877031495655
TCP J05074264+2447555,,5805.0,0.317,1.42,,3.7638022240745928
HD 133131 B,G2 V,5805.0,-0.009,0.99,G,3.7638022240745928
TOI-4914,,5805.0,0.009,1.0,,3.7638022240745928
HAT-P-55,,5804.0,0.097,1.1,,3.7637274037656985
Kepler-293,,5804.0,-0.233,0.96,,3.7637274037656985
Kepler-810,,5803.0,-0.032,1.04,,3.7636525705645303
Kepler-223,,5803.0,0.371,1.72,,3.7636525705645303
TOI-2529,,5802.0,0.464,1.7,,3.7635777244666455
HD 24040,G0 V,5802.0,0.276,1.3,G,3.7635777244666455
Kepler-1441,,5802.0,0.325,1.0,,3.7635777244666455
Kepler-481,,5802.0,0.207,1.09,,3.7635777244666455
