hostname,st_spectype,st_teff,st_lum,st_rad,spectral_class,log_temp
TOI-778,F3 V,6643.0,0.76,1.71,F,3.8223642524415493
KOI-12,,6635.0,0.626,1.4,,3.821840927200454
TOI-2152,F4 V,6630.0,0.653,1.61,F,3.821513528404773
HATS-66,,6626.0,0.767,1.84,,3.8212514315459414
Kepler-340,,6620.0,0.867,1.85,,3.8208579894397
Kepler-1618,,6620.0,0.69,1.65,,3.8208579894397
WASP-66,,6600.0,0.637,1.76,,3.8195439355418688
WASP-79,F5,6600.0,0.664,1.51,F,3.8195439355418688
HAT-P-14,F5 V,6600.0,0.644,1.82,F,3.8195439355418688
WASP-180 A,F7 V,6600.0,0.315,1.19,F,3.8195439355418688
HATS-67,,6594.0,0.547,1.44,,3.8191489428071344
HATS-39,,6572.0,0.64,1.62,,3.8176975547630243
Kepler-1762,,6572.0,0.331,1.24,,3.8176975547630243
K2-243,,6570.0,0.427,1.39,,3.8175653695597807
HAT-P-6,,6570.0,0.553,1.62,,3.8175653695597807
Kepler-642,,6570.0,0.398,1.66,,3.8175653695597807
HAT-P-56,F8,6566.0,0.553,1.43,F,3.817300878393321
Kepler-1239,,6564.0,0.447,1.57,,3.8171685723810556
HATS-11,G0,6563.0,0.403,1.54,G,3.8171024042569233
Kepler-1543,,6561.0,0.487,1.65,,3.8169700377572995
TOI-4641,,6560.0,0.695,1.72,,3.8169038393756605
HD 111998,F6 V,6557.0,0.512,1.45,F,3.8167051836665156
HATS-64,,6554.0,0.867,2.11,,3.816506437046357
Kepler-1487,,6541.0,0.557,1.63,,3.8156441491319653
TOI-2109,F,6540.0,0.673,1.7,F,3.815577748324267
HATS-56,,6536.0,0.898,2.2,,3.8153120435243593
TOI-3362,,6532.0,0.739,1.83,,3.8150461760646306
TOI-1516,F8 V,6520.0,0.391,1.14,F,3.81424759573192
KELT-1,,6518.0,0.542,1.46,,3.8141143561291253
HD 106906,F5 V,6516.0,0.75,2.12,F,3.813981075636472
Kepler-1515,,6511.0,0.566,1.41,,3.8136476953468965
Kepler-40,F5 IV,6510.0,0.819,2.13,F,3.8135809885681917
Kepler-372,,6509.0,0.321,1.14,,3.8135142715418833
K2-249,,6504.0,0.336,1.57,,3.8131805325860118
K2-334,,6502.0,0.514,1.49,,3.8130469651601078
Kepler-1936,,6501.0,0.456,1.85,,3.8129801660394804
HD 206893,F5 V,6500.0,0.456,1.31,F,3.8129133566428557
DMPP-2,F5 V,6500.0,0.104,1.78,F,3.8129133566428557
Kepler-1112,,6496.0,0.542,1.54,,3.812646016233119
TOI-163,F,6495.0,0.636,1.65,F,3.812579155409047
Kepler-350,,6492.3,0.428,1.25,,3.8123985797515916
HD 103774,F5 V,6489.0,0.544,1.58,F,3.8121777741587537
Kepler-1394,,6481.0,0.811,2.55,,3.8116420214531512
WASP-82,F5,6480.0,0.794,2.1,F,3.8115750058705933
NGTS-2,F5 V,6478.0,0.631,1.7,F,3.811440943674158
Kepler-1713,,6477.0,0.486,1.46,,3.811373897053893
K2-260,,6475.0,0.543,1.69,,3.8112397727532894
WASP-14,,6475.0,0.427,1.4,,3.8112397727532894
KOI-7892,,6474.0,0.299,1.24,,3.8111726950665545
KOI-7892,,6474.0,0.265,1.26,,3.8111726950665545
KOI-12,,6466.33,0.574,1.4,,3.810657864445344
tau Boo,F7 V,6466.27,0.505,1.43,F,3.8106538346804224
TOI-558,F V,6466.0,0.547,1.5,F,3.810635700275537
Kepler-1764,,6461.0,0.415,1.13,,3.810299741040169
HATS-40,,6460.0,0.903,2.26,,3.8102325179950842
TOI-640,,6460.0,0.834,2.08,,3.8102325179950842
HAT-P-64,,6457.0,0.668,1.74,,3.8100307864058394
Kepler-493,,6457.0,0.438,1.54,,3.8100307864058394
Kepler-1937,,6457.0,0.209,1.2,,3.8100307864058394
Kepler-1807,,6455.0,0.603,1.5,,3.809896246602439
Kepler-1000,,6453.0,0.715,1.51,,3.809761665107125
WASP-120,F5,6450.0,0.675,1.87,F,3.8095597146352675
HATS-45,,6450.0,0.425,1.32,,3.8095597146352675
WASP-87,,6450.0,0.537,1.63,,3.8095597146352675
Kepler-1345,,6449.0,0.693,1.55,,3.809492376937342
HAT-P-33,F4,6446.0,0.659,1.64,F,3.8092903011763157
HAT-P-34,,6442.0,0.6,1.53,,3.8090207204836726
CoRoT-11,F6 V,6440.0,0.378,1.37,F,3.808885867359812
HATS-27,F,6438.0,0.669,1.74,F,3.8087509723495945
Kepler-1622,,6436.0,0.373,1.5,,3.808616035426992
Kepler-320,,6435.0,0.374,1.11,,3.8085485512404054
Kepler-1518,,6432.0,0.691,1.34,,3.808346035740395
WASP-18,F6 IV-V,6432.0,0.428,1.32,F,3.808346035740395
Kepler-1533,,6431.0,0.662,1.51,,3.808278509582768
WASP-90,F6,6430.0,0.63,1.98,F,3.808210972924222
Kepler-419,,6430.0,0.727,1.74,,3.808210972924222
Kepler-419,,6430.0,0.713,1.74,,3.808210972924222
WASP-88,F6,6430.0,0.724,1.8,F,3.808210972924222
KELT-24,F7,6426.0,0.439,1.34,F,3.807940721215499
Kepler-627,,6424.0,0.385,1.49,,3.8078055322706246
HATS-41,,6424.0,0.653,1.71,,3.8078055322706246
HAT-P-39,,6424.0,0.676,1.76,,3.8078055322706246
HD 156098,,6419.19,1.066,2.76,,3.807480230448317
TOI-5301,,6418.0,0.816,2.18,,3.8073997127594854
Kepler-1104,,6417.0,0.514,1.41,,3.8073320392911905
HAT-P-2,F8,6412.0,0.64,1.42,F,3.8069935136821074
WASP-118,F6,6410.0,0.659,1.7,F,3.8068580295188172
Kepler-76,F,6409.0,0.451,1.32,F,3.8067902715840667
PH1,F,6407.0,0.66,1.73,F,3.8066547239918607
HAT-P-67,,6406.0,0.939,2.55,,3.806586934327803
Kepler-521,,6406.0,0.671,1.46,,3.806586934327803
Kepler-1941,,6404.0,0.436,1.14,,3.8064513232472623
Kepler-774,,6403.0,0.753,2.42,,3.8063835018241674
Kepler-394,,6402.0,0.053,1.13,,3.8063156698081135
WASP-3,,6400.0,0.434,1.44,,3.806179973983887
WASP-161,,6400.0,0.647,1.71,,3.806179973983887
TOI-622,F6 V,6400.0,0.474,1.42,F,3.806179973983887
WASP-7,,6400.0,0.537,1.43,,3.806179973983887
DMPP-4,F5-F8 V,6400.0,0.459,1.38,F,3.806179973983887
WASP-190,F6 IV-V,6400.0,0.691,1.6,F,3.806179973983887
WASP-18,F6 IV-V,6400.0,0.383,1.23,F,3.806179973983887
WASP-174,F6 V,6399.0,0.436,1.35,F,3.8061121101690913
Kepler-394,,6398.0,0.053,1.1,,3.806044235748088
XO-4,F5 V,6397.0,0.536,1.45,F,3.805976350717563
Kepler-14,,6395.0,0.799,2.05,,3.8058405488146727
Kepler-1442,,6394.0,0.651,1.44,,3.8057726319356693
TOI-201,F6 V,6394.0,0.415,1.32,F,3.8057726319356693
Kepler-522,,6392.0,0.655,1.98,,3.805636766305935
HAT-P-41,,6390.0,0.628,2.05,,3.8055008581584002
CoRoT-35,F6 V,6390.0,0.362,1.65,F,3.8055008581584002
HD 8673,F5,6389.05,0.53,1.5,F,3.805436286886112
HAT-P-7,,6389.0,0.814,2.0,,3.80543288813214
Kepler-527,,6388.0,0.323,1.45,,3.8053649074664455
Qatar-7,F4 V,6387.0,0.563,1.56,F,3.805296916157985
Kepler-1238,,6386.0,0.584,1.48,,3.805228914203426
Kepler-791,,6383.0,0.403,1.47,,3.805024844429805
WASP-101,F6,6380.0,0.421,1.31,F,3.8048206787211623
HD 143105,F5,6380.0,0.556,1.65,F,3.8048206787211623
HAT-P-2,F8,6380.0,0.53,1.39,F,3.8048206787211623
Kepler-1597,,6377.0,0.434,1.39,,3.804616416987255
HAT-P-24,F8,6373.0,0.454,1.32,F,3.8043439184798657
Kepler-1960,,6371.0,0.271,1.07,,3.8042076050820413
Kepler-1383,,6370.0,0.568,1.44,,3.8041394323353503
Kepler-342,,6366.0,0.453,1.34,,3.8038666342849843
TOI-3353,,6365.0,-0.026,1.02,,3.803798407989674
Kepler-279,,6363.0,0.519,1.75,,3.8036619232362243
WASP-186,,6361.0,0.5,1.46,,3.8035253955765325
Kepler-433,,6360.0,0.88,2.26,,3.803457115648414
HATS-12,F,6357.0,0.863,1.17,F,3.8032522114304568
Kepler-1435,,6356.0,0.468,1.32,,3.803183888535342
Kepler-25,F8,6354.0,0.391,1.34,F,3.803047210491129
HATS-3,F,6351.0,0.456,1.4,F,3.8028421127390746
K2-258,,6351.0,0.272,1.31,,3.8028421127390746
Kepler-853,,6350.0,0.51,1.55,,3.8027737252919755
WASP-158,F6 V,6350.0,0.483,1.39,F,3.8027737252919755
HAT-P-9,F7,6350.0,0.418,1.34,F,3.8027737252919755
Kepler-39,F7 V,6350.0,0.346,1.4,F,3.8027737252919755
Kepler-1903,,6347.0,0.292,1.0,,3.8025684983139563
Kepler-483,,6346.0,0.439,1.47,,3.8025000677643934
TOI-1859,,6341.0,0.477,1.4,,3.8021577531869615
Kepler-217,,6341.0,0.754,1.76,,3.8021577531869615
Kepler-31,,6340.0,0.301,1.22,,3.8020892578817325
KIC 5437945,,6340.0,0.641,1.24,,3.8020892578817325
Kepler-1298,,6339.0,0.84,2.0,,3.802020751771976
HD 25463,,6337.87,0.471,1.42,,3.8019433268609606
Kepler-1483,,6337.0,0.394,1.4,,3.8018837071252394
Kepler-193,,6335.0,0.1,1.15,,3.80174661921946
Kepler-1421,,6335.0,0.599,1.42,,3.80174661921946
Kepler-930,,6335.0,0.378,1.4,,3.80174661921946
30 Ari B,F6 V,6331.0,0.381,1.41,F,3.801472313521471
