DATE,TMAX
2021-01-20,45
2021-01-21,43
2021-01-22,52
2022-01-20,45
2022-01-21,33
2022-01-22,43
2023-01-20,54
2023-01-21,50
2023-01-22,44
2024-01-20,17
2024-01-21,41
2024-01-22,49
2025-01-20,25
2025-01-21,23
2025-01-22,32
