DATE,TMAX
1903-01-01,45.354838709677416
1904-01-01,42.645161290322584
1905-01-01,41.25806451612903
1906-01-01,48.41935483870968
1907-01-01,56.67741935483871
1908-01-01,43.774193548387096
1909-01-01,52.54838709677419
1910-01-01,46.87096774193548
1911-01-01,52.58064516129032
1912-01-01,40.67741935483871
1913-01-01,55.193548387096776
1914-01-01,48.41935483870968
1915-01-01,44.806451612903224
1916-01-01,53.54838709677419
1917-01-01,52.58064516129032
1918-01-01,37.16129032258065
1919-01-01,47.96774193548387
1920-01-01,47.645161290322584
1921-01-01,48.03225806451613
1922-01-01,45.774193548387096
1923-01-01,51.0
1924-01-01,44.54838709677419
1925-01-01,46.096774193548384
1926-01-01,45.516129032258064
1927-01-01,47.58064516129032
1928-01-01,45.74193548387097
1929-01-01,47.25806451612903
1930-01-01,48.74193548387097
1931-01-01,47.935483870967744
1932-01-01,56.25806451612903
1933-01-01,55.774193548387096
1934-01-01,50.0
1935-01-01,49.096774193548384
1936-01-01,43.32258064516129
1937-01-01,56.54838709677419
1938-01-01,47.54838709677419
1939-01-01,51.064516129032256
1940-01-01,34.67741935483871
1941-01-01,48.38709677419355
1942-01-01,47.25806451612903
1943-01-01,52.354838709677416
1944-01-01,49.29032258064516
1945-01-01,46.0
1946-01-01,47.67741935483871
1947-01-01,52.67741935483871
1948-01-01,41.12903225806452
1949-01-01,56.12903225806452
1950-01-01,60.83870967741935
1951-01-01,48.83870967741935
1952-01-01,54.03225806451613
1953-01-01,51.87096774193548
1954-01-01,51.12903225806452
1955-01-01,45.645161290322584
1956-01-01,42.54838709677419
1957-01-01,47.74193548387097
1958-01-01,40.645161290322584
1959-01-01,47.45161290322581
1960-01-01,46.483870967741936
1961-01-01,43.483870967741936
1962-01-01,46.38709677419355
1963-01-01,46.193548387096776
1964-01-01,49.0
1965-01-01,49.25806451612903
1966-01-01,40.193548387096776
1967-01-01,51.45161290322581
1968-01-01,45.32258064516129
1969-01-01,44.16129032258065
1970-01-01,39.45161290322581
1971-01-01,46.935483870967744
1972-01-01,52.61290322580645
1973-01-01,48.12903225806452
1974-01-01,59.645161290322584
1975-01-01,54.225806451612904
1976-01-01,45.806451612903224
1977-01-01,34.41935483870968
1978-01-01,38.83870967741935
1979-01-01,43.064516129032256
1980-01-01,45.354838709677416
1981-01-01,41.54838709677419
1982-01-01,43.516129032258064
1983-01-01,43.516129032258064
1984-01-01,43.83870967741935
1985-01-01,39.0
1986-01-01,47.29032258064516
1987-01-01,43.903225806451616
1988-01-01,42.12903225806452
1989-01-01,53.87096774193548
1990-01-01,54.096774193548384
1991-01-01,47.03225806451613
1992-01-01,49.774193548387096
1993-01-01,49.96774193548387
1994-01-01,41.645161290322584
1995-01-01,46.96774193548387
1996-01-01,44.83870967741935
1997-01-01,45.483870967741936
1998-01-01,50.25806451612903
1999-01-01,51.38709677419355
2000-01-01,44.03225806451613
2001-01-01,45.0
2002-01-01,52.41935483870968
2003-01-01,42.87096774193548
2004-01-01,45.96774193548387
2005-01-01,50.645161290322584
2006-01-01,53.61290322580645
2007-01-01,49.29032258064516
2008-01-01,46.354838709677416
2009-01-01,47.29032258064516
2010-01-01,40.774193548387096
2011-01-01,42.096774193548384
2012-01-01,51.354838709677416
2013-01-01,51.87096774193548
2014-01-01,42.903225806451616
2015-01-01,46.70967741935484
2016-01-01,43.806451612903224
2017-01-01,53.064516129032256
2018-01-01,43.193548387096776
2019-01-01,46.774193548387096
2020-01-01,50.193548387096776
2021-01-01,46.83870967741935
2022-01-01,46.483870967741936
2023-01-01,53.645161290322584
2024-01-01,46.45161290322581
