pl_name,hostname,ra,dec,planet_mass_earth,planet_radius_earth,orbital_period_days,equilibrium_temp_k,discoverymethod,disc_year,stellar_type,distance_parsecs
Kepler-300 c,Kepler-300,295.289,48.600,5.690,2.250,40.72,516,Transit,2014,,1098.45
Kepler-47 b,Kepler-47,295.298,46.920,2.070,3.050,49.46,,Transit,2012,,1025.02
Kepler-47 c,Kepler-47,295.298,46.920,3.170,4.650,303.23,,Transit,2012,,1025.02
Kepler-47 d,Kepler-47,295.298,46.920,19.020,7.040,187.37,,Transit,2019,,1025.02
Kepler-964 b,Kepler-964,295.300,40.557,5.140,2.120,13.52,652,Transit,2016,,454.63
Kepler-1831 b,Kepler-1831,295.302,49.589,4.540,1.970,5.78,1051,Transit,2021,,1053.49
Kepler-61 b,Kepler-61,295.304,42.475,5.270,2.150,59.88,273,Transit,2013,K7 V,335.08
Kepler-493 b,Kepler-493,295.308,38.882,,15.130,3.00,1438,Transit,2016,,1745.77
Kepler-1145 b,Kepler-1145,295.308,43.044,2.540,1.400,3.97,958,Transit,2016,,691.96
Kepler-962 b,Kepler-962,295.313,46.238,4.540,1.970,12.06,689,Transit,2016,,411.49
HD 185283 b,HD 185283,295.323,-56.322,413.177,13.600,4060.00,,Radial Velocity,2023,K3 V,31.40
Kepler-908 b,Kepler-908,295.323,39.376,1.980,1.220,1.34,1783,Transit,2016,,290.84
Kepler-1603 b,Kepler-1603,295.330,42.535,2.210,1.290,2.27,1522,Transit,2016,,2712.58
Kepler-1052 b,Kepler-1052,295.343,46.602,8.910,2.930,34.85,522,Transit,2016,,943.44
Kepler-1052 c,Kepler-1052,295.343,46.602,5.900,2.300,180.92,302,Transit,2023,,943.44
Kepler-1427 b,Kepler-1427,295.350,45.115,1.370,1.100,0.97,1844,Transit,2016,,1220.00
Kepler-1281 b,Kepler-1281,295.354,48.515,3.330,1.640,3.12,1123,Transit,2016,,1090.00
Kepler-819 b,Kepler-819,295.371,39.177,8.050,2.760,33.20,485,Transit,2016,,664.31
Kepler-1382 b,Kepler-1382,295.377,39.048,4.190,1.880,16.36,959,Transit,2016,,738.26
Kepler-870 b,Kepler-870,295.403,50.479,8.150,2.780,21.36,691,Transit,2016,,1259.46
Kepler-508 b,Kepler-508,295.404,42.981,3.330,1.640,25.31,710,Transit,2016,,324.62
Kepler-1483 b,Kepler-1483,295.410,42.151,2.920,1.520,9.51,1131,Transit,2016,,1273.78
Kepler-218 b,Kepler-218,295.413,46.267,2.790,1.480,3.62,1156,Transit,2014,,656.38
Kepler-218 c,Kepler-218,295.413,46.267,10.000,3.140,44.70,500,Transit,2014,,656.38
Kepler-218 d,Kepler-218,295.413,46.267,7.560,2.660,124.52,356,Transit,2016,,656.38
Kepler-872 b,Kepler-872,295.417,43.606,4.620,1.990,2.58,1230,Transit,2016,,879.68
Kepler-419 b,Kepler-419,295.418,51.185,794.500,10.800,69.76,613,Transit,2014,,1011.36
Kepler-419 c,Kepler-419,295.418,51.185,2320.100,12.600,675.47,,Transit Timing Variations,2014,,1011.36
Kepler-377 b,Kepler-377,295.422,38.736,2.510,1.390,12.51,875,Transit,2014,,823.80
Kepler-377 c,Kepler-377,295.422,38.736,4.900,2.060,27.02,677,Transit,2014,,823.80
Kepler-1625 b,Kepler-1625,295.429,39.887,30.600,6.060,287.38,350,Transit,2016,,2310.11
Kepler-581 b,Kepler-581,295.433,40.648,7.410,2.630,40.61,521,Transit,2016,,703.76
Kepler-678 b,Kepler-678,295.455,50.495,23.100,5.140,7.28,833,Transit,2016,,1826.15
Kepler-1754 b,Kepler-1754,295.457,50.077,6.530,2.440,8.20,672,Transit,2021,,718.95
Kepler-1283 b,Kepler-1283,295.462,40.777,4.310,1.910,12.95,764,Transit,2016,,2921.99
Kepler-1111 b,Kepler-1111,295.463,45.813,4.660,2.000,8.80,938,Transit,2016,,841.54
16 Cyg B b,16 Cyg B,295.466,50.517,565.737,13.500,798.50,,Radial Velocity,1996,G3 V,21.14
Kepler-644 b,Kepler-644,295.476,43.493,10.100,3.150,3.17,1655,Transit,2016,,1318.05
Kepler-1125 b,Kepler-1125,295.481,40.732,4.040,1.840,17.67,778,Transit,2016,,2011.41
Kepler-1638 b,Kepler-1638,295.482,48.524,4.160,1.870,259.34,304,Transit,2016,,1525.52
Kepler-450 b,Kepler-450,295.487,51.014,19.400,6.140,28.46,769,Transit,2015,,455.98
Kepler-450 c,Kepler-450,295.487,51.014,12.500,2.620,15.41,944,Transit,2015,,455.98
Kepler-450 d,Kepler-450,295.487,51.014,17.600,0.837,7.52,1199,Transit,2015,,455.98
Kepler-1487 b,Kepler-1487,295.498,38.644,5.180,2.130,7.32,1682,Transit,2016,,1014.62
Kepler-1487 c,Kepler-1487,295.498,38.644,48.700,7.970,35.80,991,Transit,2023,,1014.62
Kepler-1098 b,Kepler-1098,295.503,43.233,2.240,1.300,2.54,1319,Transit,2016,,1049.19
Kepler-888 b,Kepler-888,295.521,49.739,3.750,1.760,70.70,417,Transit,2016,,420.82
Kepler-1432 b,Kepler-1432,295.524,49.830,5.560,2.220,23.91,709,Transit,2016,,2171.87
Kepler-719 b,Kepler-719,295.536,43.884,54.500,8.520,5.01,998,Transit,2016,,2497.51
Kepler-1434 b,Kepler-1434,295.538,51.203,1.410,1.110,8.05,1320,Transit,2016,,775.53
Kepler-667 b,Kepler-667,295.555,49.017,20.100,4.730,41.44,516,Transit,2016,,2302.45
Kepler-199 b,Kepler-199,295.559,40.236,9.850,3.110,23.64,595,Transit,2014,,521.05
Kepler-199 c,Kepler-199,295.559,40.236,10.600,3.250,67.09,420,Transit,2014,,521.05
Kepler-1608 b,Kepler-1608,295.564,39.418,3.640,1.730,16.47,612,Transit,2016,,832.00
Kepler-1134 b,Kepler-1134,295.568,42.478,7.460,2.640,17.13,611,Transit,2016,,944.45
Kepler-180 b,Kepler-180,295.571,49.775,2.860,1.500,13.82,781,Transit,2014,,695.65
Kepler-180 c,Kepler-180,295.571,49.775,9.320,3.010,41.89,540,Transit,2014,,695.65
Kepler-743 b,Kepler-743,295.574,42.806,1.920,1.210,3.18,1101,Transit,2016,,278.99
